"locus","Site","raw_count","adj_count","raw_prop","adj_prop","raw_sum","adj_sum","Country","Region","Study"
"KL34","BAPP",2,2,0.0666666666666667,0.1,30,20,"Pakistan","Southern Asia","BARNARDS"
"KL136","BAPP",3,2,0.1,0.1,30,20,"Pakistan","Southern Asia","BARNARDS"
"KL117","BAPP",4,2,0.133333333333333,0.1,30,20,"Pakistan","Southern Asia","BARNARDS"
"KL2","BARK",2,2,0.133333333333333,0.181818181818182,15,11,"Rwanda","Eastern Africa","BARNARDS"
"KL62","BARK",3,2,0.2,0.181818181818182,15,11,"Rwanda","Eastern Africa","BARNARDS"
"KL64","BARK",3,2,0.2,0.181818181818182,15,11,"Rwanda","Eastern Africa","BARNARDS"
"KL2","BAZAT",2,2,0.166666666666667,0.166666666666667,12,12,"South Africa","Southern Africa","BARNARDS"
"KL64","SPINZ_Lusaka",4,2,0.013986013986014,0.0666666666666667,286,30,"Zambia","Eastern Africa","SPINZ"
"KL38","SPINZ_Lusaka",2,2,0.00699300699300699,0.0666666666666667,286,30,"Zambia","Eastern Africa","SPINZ"
"KL3","HOSPITAL 1",3,2,0.06,0.0645161290322581,50,31,"South Africa","Southern Africa","GBS"
"KL67","Kilifi",2,2,0.0119047619047619,0.0178571428571429,168,112,"Kenya","Eastern Africa","Kilifi"
"KL27","Kilifi",2,2,0.0119047619047619,0.0178571428571429,168,112,"Kenya","Eastern Africa","Kilifi"
"KL112","Kilifi",2,2,0.0119047619047619,0.0178571428571429,168,112,"Kenya","Eastern Africa","Kilifi"
"KL111","Kilifi",2,2,0.0119047619047619,0.0178571428571429,168,112,"Kenya","Eastern Africa","Kilifi"
"KL118","Kilifi",2,2,0.0119047619047619,0.0178571428571429,168,112,"Kenya","Eastern Africa","Kilifi"
"KL2","Kiambu sub-County Hospital",13,2,0.282608695652174,0.333333333333333,46,6,"Kenya","Eastern Africa","NeoBAC"
"KL62","Kiambu sub-County Hospital",2,2,0.0434782608695652,0.333333333333333,46,6,"Kenya","Eastern Africa","NeoBAC"
"KL10","Kilifi",2,2,0.0119047619047619,0.0178571428571429,168,112,"Kenya","Eastern Africa","Kilifi"
"KL9","Kilifi",2,2,0.0119047619047619,0.0178571428571429,168,112,"Kenya","Eastern Africa","Kilifi"
"KL105","Kilifi",2,2,0.0119047619047619,0.0178571428571429,168,112,"Kenya","Eastern Africa","Kilifi"
"KL110","Kilifi",2,2,0.0119047619047619,0.0178571428571429,168,112,"Kenya","Eastern Africa","Kilifi"
"KL17","AKU_Karachi",2,2,0.0588235294117647,0.0666666666666667,34,30,"Pakistan","Southern Asia","AKU"
"KL51","AKU_Quetta",2,2,0.2,0.222222222222222,10,9,"Pakistan","Southern Asia","AKU"
"KL136","AKU_Karachi",2,2,0.0588235294117647,0.0666666666666667,34,30,"Pakistan","Southern Asia","AKU"
"KL81","AKU_Hyderabaad",8,2,0.615384615384615,0.285714285714286,13,7,"Pakistan","Southern Asia","AKU"
"KL15","AKU_Karachi",2,2,0.0588235294117647,0.0666666666666667,34,30,"Pakistan","Southern Asia","AKU"
"KL10","AKU_Karachi",2,2,0.0588235294117647,0.0666666666666667,34,30,"Pakistan","Southern Asia","AKU"
"KL64","AKU_Hyderabaad",2,2,0.153846153846154,0.285714285714286,13,7,"Pakistan","Southern Asia","AKU"
"KL30","AKU_Karachi",2,2,0.0588235294117647,0.0666666666666667,34,30,"Pakistan","Southern Asia","AKU"
"KL10","AIDH2",6,2,0.176470588235294,0.166666666666667,34,12,"India","Southern Asia","AIIMS"
"KL51","AIDH2",4,2,0.117647058823529,0.166666666666667,34,12,"India","Southern Asia","AIIMS"
"KL104","AIDH2",5,2,0.147058823529412,0.166666666666667,34,12,"India","Southern Asia","AIIMS"
"KL24","AIDH2",5,2,0.147058823529412,0.166666666666667,34,12,"India","Southern Asia","AIIMS"
"KL2","MBTygerberg Hospital",2,2,0.2,0.222222222222222,10,9,"South Africa","Southern Africa","MBIRA"
"KL102","MBKorle Bu Hospital",6,2,0.230769230769231,0.117647058823529,26,17,"Ghana","Western Africa","MBIRA"
"KL2","MBKorle Bu Hospital",2,2,0.0769230769230769,0.117647058823529,26,17,"Ghana","Western Africa","MBIRA"
"KL3","MBKorle Bu Hospital",2,2,0.0769230769230769,0.117647058823529,26,17,"Ghana","Western Africa","MBIRA"
