"locus","Site","raw_count","adj_count","raw_prop","adj_prop","raw_sum","adj_sum","Country","Region","Study"
"O1.v1","AKU_Hyderabaad",2,2,0.153846153846154,0.285714285714286,13,7,"Pakistan","Southern Asia","AKU"
"O2a.v1","AIDH2",5,2,0.147058823529412,0.166666666666667,34,12,"India","Southern Asia","AIIMS"
"O1.v1","MBTygerberg Hospital",2,2,0.2,0.222222222222222,10,9,"South Africa","Southern Africa","MBIRA"
"O2afg.v2","MBTygerberg Hospital",2,2,0.2,0.222222222222222,10,9,"South Africa","Southern Africa","MBIRA"
"O1.v1","MBKorle Bu Hospital",6,2,0.230769230769231,0.117647058823529,26,17,"Ghana","Western Africa","MBIRA"
"O3b","MBUniversity Teaching Hospital",2,2,0.105263157894737,0.153846153846154,19,13,"Zambia","Eastern Africa","MBIRA"
"O2a.v1","MBUniversity Teaching Hospital",4,2,0.210526315789474,0.153846153846154,19,13,"Zambia","Eastern Africa","MBIRA"
"O1.v1","MBUniversity Teaching Hospital",2,2,0.105263157894737,0.153846153846154,19,13,"Zambia","Eastern Africa","MBIRA"
"O1.v2","MBUniversity Teaching Hospital",2,2,0.105263157894737,0.153846153846154,19,13,"Zambia","Eastern Africa","MBIRA"
"O1.v1","MBQueen Elizabeth Central Hospital",2,2,0.0909090909090909,0.111111111111111,22,18,"Malawi","Eastern Africa","MBIRA"
"O1.v1","MBKilimanjaro Christian Medical Centre",2,2,0.0350877192982456,0.285714285714286,57,7,"Tanzania","Eastern Africa","MBIRA"
"O5","BGHOSPITAL 1",2,1,0.0588235294117647,0.0714285714285714,34,14,"South Africa","Southern Africa","BabyGERMS"
"O3b","BGHOSPITAL 5",1,1,0.0476190476190476,0.0714285714285714,21,14,"South Africa","Southern Africa","BabyGERMS"
"O3/O3a","BGHOSPITAL 4",2,1,0.0909090909090909,0.0909090909090909,22,11,"South Africa","Southern Africa","BabyGERMS"
"O4","BGHOSPITAL 3",2,1,0.0833333333333333,0.05,24,20,"South Africa","Southern Africa","BabyGERMS"
"O5","BGHOSPITAL 5",2,1,0.0952380952380952,0.0714285714285714,21,14,"South Africa","Southern Africa","BabyGERMS"
"O1.v2","BGHOSPITAL 2",1,1,0.0357142857142857,0.0625,28,16,"South Africa","Southern Africa","BabyGERMS"
"O4","BGHOSPITAL 6",2,1,0.142857142857143,0.0833333333333333,14,12,"South Africa","Southern Africa","BabyGERMS"
"O1.v1","BGHOSPITAL 1",1,1,0.0294117647058824,0.0714285714285714,34,14,"South Africa","Southern Africa","BabyGERMS"
"O5","BGHOSPITAL 3",4,1,0.166666666666667,0.05,24,20,"South Africa","Southern Africa","BabyGERMS"
"O2a.v1","BGHOSPITAL 1",1,1,0.0294117647058824,0.0714285714285714,34,14,"South Africa","Southern Africa","BabyGERMS"
"O3b","BGHOSPITAL 6",2,1,0.142857142857143,0.0833333333333333,14,12,"South Africa","Southern Africa","BabyGERMS"
"O3/O3a","BGHOSPITAL 2",1,1,0.0357142857142857,0.0625,28,16,"South Africa","Southern Africa","BabyGERMS"
"O2afg.v2","PMH_Botswana",1,1,0.0344827586206897,0.0833333333333333,29,12,"Botswana","Southern Africa","Botswana"
"O4","PMH_Botswana",1,1,0.0344827586206897,0.0833333333333333,29,12,"Botswana","Southern Africa","Botswana"
"O3b","PMH_Botswana",1,1,0.0344827586206897,0.0833333333333333,29,12,"Botswana","Southern Africa","Botswana"
"O2afg.v2","CHRFCMOSH",1,1,0.0555555555555556,0.0714285714285714,18,14,"Bangladesh","Southern Asia","CHRF"
"O2afg.v2","CHRFKWMCH",1,1,0.0588235294117647,0.0909090909090909,17,11,"Bangladesh","Southern Asia","CHRF"
"O5","CHRFCMOSH",1,1,0.0555555555555556,0.0714285714285714,18,14,"Bangladesh","Southern Asia","CHRF"
"O1.v2","CHRFKWMCH",1,1,0.0588235294117647,0.0909090909090909,17,11,"Bangladesh","Southern Asia","CHRF"
"O1.v1","CHRFCMOSH",1,1,0.0555555555555556,0.0714285714285714,18,14,"Bangladesh","Southern Asia","CHRF"
"O3b","CHRFKWMCH",1,1,0.0588235294117647,0.0909090909090909,17,11,"Bangladesh","Southern Asia","CHRF"
"O5","CHRFKWMCH",1,1,0.0588235294117647,0.0909090909090909,17,11,"Bangladesh","Southern Asia","CHRF"
"OL102","CHRFKWMCH",1,1,0.0588235294117647,0.0909090909090909,17,11,"Bangladesh","Southern Asia","CHRF"
"O1.v1","CHRFKWMCH",1,1,0.0588235294117647,0.0909090909090909,17,11,"Bangladesh","Southern Asia","CHRF"
"O3b","CHRFCMOSH",1,1,0.0555555555555556,0.0714285714285714,18,14,"Bangladesh","Southern Asia","CHRF"
"OL13","CHRFCMOSH",3,1,0.166666666666667,0.0714285714285714,18,14,"Bangladesh","Southern Asia","CHRF"
"O4","BABC",1,1,0.0588235294117647,0.0714285714285714,17,14,"Bangladesh","Southern Asia","BARNARDS"
"O1.v2","BABC",1,1,0.0588235294117647,0.0714285714285714,17,14,"Bangladesh","Southern Asia","BARNARDS"
"O5","BABC",1,1,0.0588235294117647,0.0714285714285714,17,14,"Bangladesh","Southern Asia","BARNARDS"
"O3/O3a","BABC",1,1,0.0588235294117647,0.0714285714285714,17,14,"Bangladesh","Southern Asia","BARNARDS"
"OL104","BABC",1,1,0.0588235294117647,0.0714285714285714,17,14,"Bangladesh","Southern Asia","BARNARDS"
"O12","BAES",1,1,0.0106382978723404,0.0476190476190476,94,21,"Ethiopia","Eastern Africa","BARNARDS"
"O3/O3a","BANK",2,1,0.125,0.0769230769230769,16,13,"Nigeria","Western Africa","BARNARDS"
"O2afg.v2","BANK",1,1,0.0625,0.0769230769230769,16,13,"Nigeria","Western Africa","BARNARDS"
"O1.v2","BANK",1,1,0.0625,0.0769230769230769,16,13,"Nigeria","Western Africa","BARNARDS"
"OL13","BANN",1,1,0.0294117647058824,0.04,34,25,"Nigeria","Western Africa","BARNARDS"
"O12","BAPP",1,1,0.0333333333333333,0.0476190476190476,30,21,"Pakistan","Southern Asia","BARNARDS"
"O2a.v1","BAPP",1,1,0.0333333333333333,0.0476190476190476,30,21,"Pakistan","Southern Asia","BARNARDS"
"O3/O3a","BAPP",1,1,0.0333333333333333,0.0476190476190476,30,21,"Pakistan","Southern Asia","BARNARDS"
"O3b","BAPP",1,1,0.0333333333333333,0.0476190476190476,30,21,"Pakistan","Southern Asia","BARNARDS"
"O2afg.v2","BAZAT",1,1,0.0833333333333333,0.0833333333333333,12,12,"South Africa","Southern Africa","BARNARDS"
"O3b","BAZAT",1,1,0.0833333333333333,0.0833333333333333,12,12,"South Africa","Southern Africa","BARNARDS"
"O4","SPINZ_Lusaka",1,1,0.0034965034965035,0.0357142857142857,286,28,"Zambia","Eastern Africa","SPINZ"
"O2a.v1","HOSPITAL 1",1,1,0.02,0.032258064516129,50,31,"South Africa","Southern Africa","GBS"
"O1.v2","Kiambu sub-County Hospital",2,1,0.0434782608695652,0.166666666666667,46,6,"Kenya","Eastern Africa","NeoBAC"
"O2a.v1","Kiambu sub-County Hospital",29,1,0.630434782608696,0.166666666666667,46,6,"Kenya","Eastern Africa","NeoBAC"
"O2a.v3","Kilifi",1,1,0.00595238095238095,0.00892857142857143,168,112,"Kenya","Eastern Africa","Kilifi"
"O3b","AKU_Quetta",1,1,0.1,0.111111111111111,10,9,"Pakistan","Southern Asia","AKU"
"O3/O3a","AKU_Hyderabaad",1,1,0.0769230769230769,0.142857142857143,13,7,"Pakistan","Southern Asia","AKU"
"OL13","AKU_Quetta",1,1,0.1,0.111111111111111,10,9,"Pakistan","Southern Asia","AKU"
"O2a.v1","AKU_Karachi",1,1,0.0294117647058824,0.0333333333333333,34,30,"Pakistan","Southern Asia","AKU"
"O3/O3a","AKU_Quetta",2,1,0.2,0.111111111111111,10,9,"Pakistan","Southern Asia","AKU"
"O4","AKU_Quetta",1,1,0.1,0.111111111111111,10,9,"Pakistan","Southern Asia","AKU"
