locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Start,End,cases,numClusters,Country,Study,Region
KL64,BARK,3,2,0.214285714285714,0.181818181818182,14,11,2016,2017,15,11,Rwanda,BARNARDS,Eastern Africa
KL64,SPINZ_Lusaka,4,2,0.0140350877192982,0.0666666666666667,285,30,2015,2017,286,26,Zambia,SPINZ,Eastern Africa
KL38,SPINZ_Lusaka,2,2,0.00701754385964912,0.0666666666666667,285,30,2015,2017,286,26,Zambia,SPINZ,Eastern Africa
KL2,HOSPITAL 1,4,2,0.0888888888888889,0.0769230769230769,45,26,2019,2020,50,31,South Africa,GBS,Southern Africa
KL3,HOSPITAL 1,3,2,0.0666666666666667,0.0769230769230769,45,26,2019,2020,50,31,South Africa,GBS,Southern Africa
KL48,JIPMER,3,2,0.0810810810810811,0.1,37,20,2019,2020,42,24,India,NeoOBS,Southern Asia
KL51,JIPMER,2,2,0.0540540540540541,0.1,37,20,2019,2020,42,24,India,NeoOBS,Southern Asia
KL10,JIPMER,2,2,0.0540540540540541,0.1,37,20,2019,2020,42,24,India,NeoOBS,Southern Asia
KL51,KEM-MUMBAI,2,2,0.0952380952380952,0.117647058823529,21,17,2019,2020,22,18,India,NeoOBS,Southern Asia
KL24,KEM-MUMBAI,4,2,0.19047619047619,0.117647058823529,21,17,2019,2020,22,18,India,NeoOBS,Southern Asia
KL39,KEM-MUMBAI,2,2,0.0952380952380952,0.117647058823529,21,17,2019,2020,22,18,India,NeoOBS,Southern Asia
KL67,Kilifi,2,2,0.0137931034482759,0.0224719101123595,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
KL18,Kilifi,2,2,0.0137931034482759,0.0224719101123595,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
KL112,Kilifi,2,2,0.0137931034482759,0.0224719101123595,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
KL111,Kilifi,2,2,0.0137931034482759,0.0224719101123595,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
KL2,Kiambu sub-County Hospital,13,2,0.302325581395349,0.333333333333333,43,6,2021,2022,46,6,Kenya,NeoBAC,Eastern Africa
KL62,Kiambu sub-County Hospital,2,2,0.0465116279069767,0.333333333333333,43,6,2021,2022,46,6,Kenya,NeoBAC,Eastern Africa
KL10,Kilifi,2,2,0.0137931034482759,0.0224719101123595,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
KL9,Kilifi,2,2,0.0137931034482759,0.0224719101123595,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
KL105,Kilifi,2,2,0.0137931034482759,0.0224719101123595,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
KL17,AKU_Karachi,2,2,0.0625,0.0714285714285714,32,28,2023,2023,34,30,Pakistan,AKU,Southern Asia
KL51,AKU_Quetta,2,2,0.2,0.222222222222222,10,9,2023,2023,10,9,Pakistan,AKU,Southern Asia
KL136,AKU_Karachi,2,2,0.0625,0.0714285714285714,32,28,2023,2023,34,30,Pakistan,AKU,Southern Asia
KL81,AKU_Hyderabaad,8,2,0.615384615384615,0.285714285714286,13,7,2023,2023,13,7,Pakistan,AKU,Southern Asia
KL15,AKU_Karachi,2,2,0.0625,0.0714285714285714,32,28,2023,2023,34,30,Pakistan,AKU,Southern Asia
KL10,AKU_Karachi,2,2,0.0625,0.0714285714285714,32,28,2023,2023,34,30,Pakistan,AKU,Southern Asia
KL64,AKU_Hyderabaad,2,2,0.153846153846154,0.285714285714286,13,7,2023,2023,13,7,Pakistan,AKU,Southern Asia
KL30,AKU_Karachi,2,2,0.0625,0.0714285714285714,32,28,2023,2023,34,30,Pakistan,AKU,Southern Asia
KL10,AIDH2,6,2,0.181818181818182,0.181818181818182,33,11,2019,2022,34,12,India,AIIMS,Southern Asia
KL51,AIDH2,4,2,0.121212121212121,0.181818181818182,33,11,2019,2022,34,12,India,AIIMS,Southern Asia
KL104,AIDH2,5,2,0.151515151515152,0.181818181818182,33,11,2019,2022,34,12,India,AIIMS,Southern Asia
KL24,AIDH2,5,2,0.151515151515152,0.181818181818182,33,11,2019,2022,34,12,India,AIIMS,Southern Asia
KL102,MBKorle Bu Hospital,6,2,0.272727272727273,0.153846153846154,22,13,2020,2021,26,17,Ghana,MBIRA,Western Africa
KL2,MBKorle Bu Hospital,2,2,0.0909090909090909,0.153846153846154,22,13,2020,2021,26,17,Ghana,MBIRA,Western Africa
KL3,MBKorle Bu Hospital,2,2,0.0909090909090909,0.153846153846154,22,13,2020,2021,26,17,Ghana,MBIRA,Western Africa
KL24,MBUniversity Teaching Hospital,4,2,0.222222222222222,0.166666666666667,18,12,2021,2021,19,13,Zambia,MBIRA,Eastern Africa
KL28,MBHiwot Fa Hospital,13,2,0.52,0.25,25,8,2021,2021,30,13,Ethiopia,MBIRA,Eastern Africa
KL30,MBHiwot Fa Hospital,8,2,0.32,0.25,25,8,2021,2021,30,13,Ethiopia,MBIRA,Eastern Africa
KL10,MBQueen Elizabeth Central Hospital,3,2,0.142857142857143,0.117647058823529,21,17,2020,2021,22,18,Malawi,MBIRA,Eastern Africa
KL25,MBQueen Elizabeth Central Hospital,2,2,0.0952380952380952,0.117647058823529,21,17,2020,2021,22,18,Malawi,MBIRA,Eastern Africa
KL25,BGHOSPITAL 1,2,1,0.0606060606060606,0.0769230769230769,33,13,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
