Genome Name,Cluster,Cluster7,Cluster14,Cluster56,Cluster365,Cluster1SNP,Cluster2SNP,Cluster3SNP,Cluster5SNP,Cluster10SNP,Cluster15SNP,Cluster20SNP,Cluster25SNP,Cluster50SNP
S24aae_y_4124,BT3,BT4,BT3,BT3,BT3,BT14,BT13,BT11,BT3,BT3,BT3,BT3,BT3,BT3
S26aae_y_4122,BT3,BT4,BT3,BT3,BT3,BT6,BT6,BT3,BT3,BT3,BT3,BT3,BT3,BT3
CLIN.004395,BT4,BT5,BT4,BT4,BT4,BT4,BT4,BT4,BT4,BT4,BT4,BT4,BT4,BT4
CLIN.MF3028,BT4,BT5,BT4,BT4,BT4,BT9,BT8,BT4,BT4,BT4,BT4,BT4,BT4,BT4
CLIN.004517,BT5,BT6,BT5,BT5,BT5,BT5,BT5,BT5,BT5,BT5,BT5,BT5,BT5,BT5
CLIN.MF1860,BT5,BT7,BT6,BT5,BT5,BT7,BT7,BT6,BT6,BT5,BT5,BT5,BT5,BT5
CLIN.MF2876,BT5,BT6,BT5,BT5,BT5,BT8,BT5,BT5,BT5,BT5,BT5,BT5,BT5,BT5
CLIN.MF2888,BT5,BT6,BT5,BT5,BT5,BT5,BT5,BT5,BT5,BT5,BT5,BT5,BT5,BT5
CLIN.MF2991,BT5,BT6,BT5,BT5,BT5,BT5,BT5,BT5,BT5,BT5,BT5,BT5,BT5,BT5
CLIN.MF6891,BT6,BT10,BT9,BT6,BT5,BT10,BT9,BT7,BT7,BT6,BT6,BT6,BT6,BT6
CLIN.MF8377,BT7,BT11,BT10,BT6,BT5,BT11,BT10,BT8,BT8,BT7,BT7,BT7,BT7,BT7
CLIN.MF9345.1,BT8,BT12,BT11,BT7,BT1,BT12,BT11,BT9,BT9,BT8,BT8,BT8,BT8,BT8
S4_ftry_aae_z_87,BT8,BT12,BT11,BT7,BT1,BT12,BT11,BT9,BT9,BT8,BT8,BT8,BT8,BT8
CLIN.MF9577,BT9,BT13,BT12,BT6,BT5,BT13,BT12,BT10,BT10,BT9,BT9,BT9,BT9,BT9
S29aae_y_4119,BT10,BT14,BT13,BT8,BT3,BT15,BT14,BT12,BT11,BT10,BT10,BT10,BT10,BT10
S30aae_y_4118,BT10,BT14,BT13,BT8,BT3,BT17,BT16,BT14,BT12,BT10,BT10,BT10,BT10,BT10
S36aae_y_4110,BT11,BT16,BT15,BT9,BT3,BT18,BT17,BT15,BT13,BT11,BT11,BT11,BT11,BT11
42070_1#103,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1
42070_1#226,ML1,ML26,ML23,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1
42070_1#228,ML1,ML26,ML23,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1
42070_1#230,ML1,ML26,ML23,ML1,ML1,ML27,ML20,ML20,ML19,ML1,ML1,ML1,ML1,ML1
42070_2#92,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1,ML1
42070_1#108,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#110,ML2,ML2,ML2,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#112,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#120,ML2,ML5,ML5,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#122,ML2,ML5,ML5,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#126,ML2,ML5,ML5,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#130,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#40,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#44,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#68,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#72,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#74,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#76,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#80,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#98,ML2,ML2,ML2,ML2,ML2,ML68,ML59,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#109,ML3,ML3,ML3,ML3,ML3,ML3,ML3,ML3,ML3,ML3,ML3,ML3,ML3,ML3
42070_1#133,ML3,ML3,ML3,ML3,ML3,ML9,ML3,ML3,ML3,ML3,ML3,ML3,ML3,ML3
42070_1#141,ML3,ML8,ML8,ML3,ML3,ML3,ML3,ML3,ML3,ML3,ML3,ML3,ML3,ML3
42070_2#278,ML3,ML8,ML8,ML3,ML3,ML3,ML3,ML3,ML3,ML3,ML3,ML3,ML3,ML3
42070_1#148,ML2,ML5,ML5,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#113,ML4,ML4,ML4,ML4,ML4,ML5,ML4,ML4,ML4,ML4,ML4,ML4,ML4,ML4
42070_1#119,ML4,ML4,ML4,ML4,ML4,ML7,ML4,ML4,ML4,ML4,ML4,ML4,ML4,ML4
42070_1#150,ML4,ML4,ML4,ML4,ML4,ML12,ML7,ML7,ML4,ML4,ML4,ML4,ML4,ML4
42070_1#115,ML2,ML5,ML5,ML2,ML2,ML6,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#121,ML2,ML5,ML5,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#123,ML2,ML5,ML5,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#125,ML2,ML5,ML5,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#127,ML2,ML5,ML5,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#147,ML2,ML10,ML5,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#152,ML2,ML10,ML5,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#154,ML2,ML10,ML5,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#156,ML2,ML10,ML5,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#158,ML2,ML10,ML5,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#178,ML2,ML10,ML5,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#91,ML2,ML10,ML5,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42139_1#310,ML2,ML10,ML5,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#160,ML2,ML10,ML5,ML2,ML2,ML4,ML2,ML2,ML2,ML2,ML2,ML2,ML2,ML2
42070_1#129,ML5,ML6,ML6,ML5,ML5,ML8,ML5,ML5,ML5,ML5,ML5,ML5,ML5,ML5
42070_2#14,ML5,ML6,ML6,ML5,ML5,ML8,ML5,ML5,ML5,ML5,ML5,ML5,ML5,ML5
42070_2#233,ML5,ML6,ML6,ML5,ML5,ML8,ML5,ML5,ML5,ML5,ML5,ML5,ML5,ML5
42070_2#237,ML5,ML6,ML6,ML5,ML5,ML8,ML5,ML5,ML5,ML5,ML5,ML5,ML5,ML5
42070_2#257,ML5,ML6,ML6,ML5,ML5,ML8,ML5,ML5,ML5,ML5,ML5,ML5,ML5,ML5
42070_2#265,ML5,ML6,ML6,ML5,ML5,ML92,ML5,ML5,ML5,ML5,ML5,ML5,ML5,ML5
42070_2#298,ML5,ML6,ML6,ML5,ML5,ML8,ML5,ML5,ML5,ML5,ML5,ML5,ML5,ML5
42070_2#319,ML5,ML6,ML6,ML5,ML5,ML99,ML86,ML5,ML5,ML5,ML5,ML5,ML5,ML5
42070_2#330,ML5,ML6,ML6,ML5,ML5,ML8,ML5,ML5,ML5,ML5,ML5,ML5,ML5,ML5
42070_2#332,ML5,ML6,ML6,ML5,ML5,ML8,ML5,ML5,ML5,ML5,ML5,ML5,ML5,ML5
